Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
Home Alone,1990,PG,16-Nov-90,103 min,"Comedy, Family",Chris Columbus,John Hughes,"Macaulay Culkin, Joe Pesci, Daniel Stern","An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas eve.",English,United States,Nominated for 2 Oscars. 11 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMzFkM2YwOTQtYzk2Mi00N2VlLWE3NTItN2YwNDg1YmY0ZDNmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,7.7,"602,102",tt0099785,movie,7-Dec-04,"$285,761,243 ",N/A,N/A,TRUE,
Ghost,1990,PG-13,13-Jul-90,127 min,"Drama, Fantasy, Romance",Jerry Zucker,Bruce Joel Rubin,"Patrick Swayze, Demi Moore, Whoopi Goldberg","After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",English,United States,Won 2 Oscars. 18 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BMmE4ZjI3YzctNjM0YS00MjBlLWFmYjItNDRiNTk0ZmRkYjVjXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,7.1,"224,684",tt0099653,movie,24-Apr-01,"$217,631,306 ",N/A,N/A,TRUE,
Aladdin,1992,G,25-Nov-92,90 min,"Animation, Adventure, Comedy","Ron Clements, John Musker","Ron Clements, John Musker, Ted Elliott","Scott Weinger, Robin Williams, Linda Larkin",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,English,"United States, Japan",Won 2 Oscars. 34 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BZTg5ZTVmM2EtZjdhZC00MzBjLWEwZTYtNWIwZDczYzZkMzA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,8,"434,511",tt0103639,movie,13-Oct-15,"$217,350,219 ",N/A,N/A,TRUE,
Terminator 2: Judgment Day,1991,R,3-Jul-91,137 min,"Action, Sci-Fi",James Cameron,"James Cameron, William Wisher","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg.","English, Spanish",United States,Won 4 Oscars. 37 wins & 33 nominations total,https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,8.6,"1,119,363",tt0103064,movie,13-Feb-07,"$205,881,154 ",N/A,N/A,TRUE,
Dances with Wolves,1990,PG-13,21-Nov-90,181 min,"Adventure, Drama, Western",Kevin Costner,Michael Blake,"Kevin Costner, Mary McDonnell, Graham Greene","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.","English, Sioux, Pawnee","United States, United Kingdom",Won 7 Oscars. 54 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BMTY3OTI5NDczN15BMl5BanBnXkFtZTcwNDA0NDY3Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,8,"275,617",tt0099348,movie,1-Aug-06,"$184,208,848 ",N/A,N/A,TRUE,
Tough and Deadly,1995,R,14-Feb-95,92 min,"Action, Drama, Thriller",Steve Cohen,"Steve Cohen, Otto C. Pozzo (story), Otto C. Pozzo","Billy Blanks, Roddy Piper, Richard Norton, Charles Kahlenberg","Elmo Freech is a private investigator and was contracted by John Portland, a CIA agent who suffers amnesia, in oder to reveale a dubious case of drug smuggling in which are involved big ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZGU5ZDkxZWEtOWI0My00NGU4LTk4Y2EtOTFkNDcwMTNhZmM2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,447,tt0114706,movie,N/A,N/A,N/A,N/A,TRUE,
Batman,1989,PG-13,23-Jun-89,126 min,"Action, Adventure",Tim Burton,"Bob Kane, Sam Hamm, Warren Skaaren","Michael Keaton, Jack Nicholson, Kim Basinger","The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.","English, French, Spanish","United States, United Kingdom",Won 1 Oscar. 10 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BZDNjOGNhN2UtNmNhMC00YjU4LWEzMmUtNzRkM2RjN2RiMjc5XkEyXkFqcGdeQXVyMTU0OTM5ODc1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.5,"385,938",tt0096895,movie,22-Aug-97,"$251,409,241 ",N/A,N/A,TRUE,
The Silence of the Lambs,1991,R,14-Feb-91,118 min,"Crime, Drama, Thriller",Jonathan Demme,"Thomas Harris, Ted Tally","Jodie Foster, Anthony Hopkins, Lawrence A. Bonney","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","English, Latin",United States,Won 5 Oscars. 70 wins & 51 nominations total,https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,8.6,"1,462,389",tt0102926,movie,21-Aug-01,"$130,742,922 ",N/A,N/A,TRUE,
Snow White and the Seven Dwarfs,1937,Approved,4-Feb-38,83 min,"Animation, Adventure, Family","William Cottrell, David Hand, Wilfred Jackson","Jacob Grimm, Wilhelm Grimm, Ted Sears","Adriana Caselotti, Harry Stockwell, Lucille La Verne","Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",English,United States,Nominated for 1 Oscar. 11 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTQwMzE2Mzc4M15BMl5BanBnXkFtZTcwMTE4NTc1Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Metacritic', 'Value': '96/100'}]",96,7.6,"205,056",tt0029583,movie,27-Mar-07,"$184,925,486 ",N/A,N/A,TRUE,
Beauty and the Beast,1991,G,22-Nov-91,84 min,"Animation, Family, Fantasy","Gary Trousdale, Kirk Wise","Linda Woolverton, Brenda Chapman, Chris Sanders","Paige O'Hara, Robby Benson, Jesse Corti",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"English, French","United States, Japan",Won 2 Oscars. 33 wins & 32 nominations total,https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",95,8,"463,131",tt0101414,movie,6-Aug-02,"$218,967,620 ",N/A,N/A,TRUE,
Pinocchio,1940,G,23-Feb-40,88 min,"Animation, Adventure, Comedy","Norman Ferguson, T. Hee, Wilfred Jackson","Carlo Collodi, Ted Sears, Otto Englander","Dickie Jones, Christian Rub, Mel Blanc","A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",English,United States,Won 2 Oscars. 7 wins total,https://m.media-amazon.com/images/M/MV5BMTU4Mzk3ODIyOF5BMl5BanBnXkFtZTgwODgyNzk2NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '99/100'}]",99,7.5,"152,053",tt0032910,movie,3-Dec-02,"$84,254,167 ",N/A,N/A,TRUE,
Pretty Woman,1990,R,23-Mar-90,119 min,"Comedy, Romance",Garry Marshall,J.F. Lawton,"Richard Gere, Julia Roberts, Jason Alexander","A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.",English,United States,Nominated for 1 Oscar. 8 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BNjk2ODQzNDYxNV5BMl5BanBnXkFtZTgwMTcyNDg4NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,7.1,"336,145",tt0100405,movie,30-Aug-05,"$178,406,268 ",N/A,N/A,TRUE,
The Wild Bunch,1969,R,19-Jun-69,135 min,"Action, Adventure, Drama",Sam Peckinpah,"Walon Green, Sam Peckinpah, Roy N. Sickner","William Holden, Ernest Borgnine, Robert Ryan","An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.","English, Spanish, German",United States,Nominated for 2 Oscars. 6 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BNGUyYTZmOWItMDJhMi00N2IxLWIyNDMtNjUxM2ZiYmU5YWU1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '98/100'}]",98,7.9,"87,073",tt0065214,movie,10-Jan-06,"$638,641 ",N/A,N/A,TRUE,
Love and a .45,1994,R,23-Nov-94,101 min,"Crime, Romance, Thriller",C.M. Talkington,C.M. Talkington,"Gil Bellows, Renée Zellweger, Rory Cochrane","A small time crook flees to Mexico to evade the authorities, loan sharks, and his murderous ex-partner with only his fiancé and a trusted Colt .45.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BNTM1NzQ3OTEzNV5BMl5BanBnXkFtZTgwMzQ2NjkwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6,"4,723",tt0110395,movie,19-Aug-08,"$35,200 ",N/A,N/A,TRUE,
The Wooden Man's Bride,1994,Not Rated,10-Feb-95,113 min,"Drama, Romance",Jianxin Huang,"Zhengguang Yang, Jia Pingau","Shih Chang, Lan Wang, Yumei Wang","Emerging from the Chinese film renaissance of the 1990s (Raise the Red Lantern, Farewell My Concubine) this haunting folk tale set in rural China in the 1920s tells the story of a young woman forces to grieve the death of a man sh...",Mandarin,China,1 nomination,https://m.media-amazon.com/images/M/MV5BMjA4ODk3NzMxNF5BMl5BanBnXkFtZTcwMTUwODUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,234,tt0111752,movie,N/A,"$59,945 ",N/A,N/A,TRUE,
A Great Day in Harlem,1994,Not Rated,24-Feb-95,60 min,"Documentary, Music",Jean Bach,"Jean Bach, Susan Peehl, Matthew Seig","Dizzy Gillespie, Milt Hinton, Marian McPartland","The documentary compiles interviews of all the top jazz musicians in NYC in the year 1958, for a piece in Esquire magazine.",English,United States,Nominated for 1 Oscar. 1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BZmU2NTNmNzctMTZhZC00YTRlLWJiM2UtMTQxMGEyM2Q4Mzg1XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",N/A,7.4,476,tt0109934,movie,11-Jan-16,"$527,034 ",N/A,N/A,TRUE,
Bye Bye Love,1995,PG-13,17-Mar-95,106 min,"Comedy, Romance",Sam Weisman,"Gary David Goldberg, Brad Hall","Matthew Modine, Randy Quaid, Paul Reiser","A story about the family breakup of three divorced men. The film presented their perspective and it reveals their relationship with their children, ex-wives, girl friends, male friendships, and their identities as divorced men.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMjMxY2Y4YjEtYTQ2MC00ZjM2LTg0MDYtNmUyOTczMjdmMTlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}]",N/A,6.1,"6,423",tt0112606,movie,27-Dec-11,"$12,096,673 ",N/A,N/A,TRUE,
One Fine Day,1996,PG,20-Dec-96,108 min,"Comedy, Drama, Romance",Michael Hoffman,"Terrel Seltzer, Ellen Simon","Michelle Pfeiffer, George Clooney, Mae Whitman","The lives of two strangers and their young children unexpectedly intersect on one hectic, stressful day in New York City.","English, Spanish",United States,Nominated for 1 Oscar. 4 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BZjlkODI1ZDYtOTAwMy00ZTMxLThhMzgtMmE4MzFiNzQyYmRmXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.5,"47,404",tt0117247,movie,18-Jan-00,"$46,151,454 ",N/A,N/A,TRUE,
Candyman: Farewell to the Flesh,1995,R,17-Mar-95,95 min,"Horror, Thriller",Bill Condon,"Rand Ravich, Mark Kruger, Clive Barker","Tony Todd, Kelly Rowan, Caroline Barclay",The Candyman arrives in New Orleans and sets his sights on a young woman whose family was ruined by the immortal killer years before.,English,"United States, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BZDA2ZWE2YTctN2JiNi00NjdmLThhYWQtN2JjY2M4MTNhM2I5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,5.2,"13,695",tt0112625,movie,28-Aug-01,"$13,940,383 ",N/A,N/A,TRUE,
Century,1993,R,31-Dec-93,112 min,"Drama, Romance",Stephen Poliakoff,Stephen Poliakoff,"Charles Dance, Clive Owen, Miranda Richardson","Paul Reisner, a young doctor, becomes a researcher in a prestigious medical institute. He feels he has a chance to be part of a movement of unending progress in science and civilization. Then he begins to discover the dark side of...",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMTM1ODYwNzI1OF5BMl5BanBnXkFtZTcwNjMxODcxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,404,tt0106537,movie,N/A,"$7,271 ",N/A,N/A,TRUE,
Fargo,1996,R,5-Apr-96,98 min,"Crime, Thriller","Joel Coen, Ethan Coen","Ethan Coen, Joel Coen","William H. Macy, Frances McDormand, Steve Buscemi",Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,English,"United States, United Kingdom",Won 2 Oscars. 83 wins & 58 nominations total,https://m.media-amazon.com/images/M/MV5BNDJiZDgyZjctYmRjMS00ZjdkLTkwMTEtNGU1NDg3NDQ0Yzk1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,8.1,"690,721",tt0116282,movie,1-Aug-06,"$24,611,975 ",N/A,N/A,TRUE,
Homeward Bound II: Lost in San Francisco,1996,G,8-Mar-96,88 min,"Adventure, Comedy, Family",David R. Ellis,"Chris Hauty, Julie Hickson, Sheila Burnford","Michael J. Fox, Sally Field, Ralph Waite","When adventurous pets Chance, Shadow, and Sassy are accidentally separated from their vacationing humans, they're left to fend for themselves on the mean streets of San Francisco, searching for the ""golden bridge"" that will take t...",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BYmU1NzY1YTUtZTM1ZS00NzE0LTg4YzMtYTYxZWM1MzA2MWU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",N/A,5.9,"15,597",tt0116552,movie,1-Jul-03,"$32,772,492 ",N/A,N/A,TRUE,
Heavy Metal,1981,R,7-Aug-81,86 min,"Animation, Adventure, Fantasy","Gerald Potterton, John Bruno, John Halas","Daniel Goldberg, Len Blum, Dan O'Bannon","Richard Romanus, John Candy, Joe Flaherty","A glowing green orb - which embodies ultimate evil - terrorizes a young girl with an anthology of bizarre and fantastic stories of dark fantasy, eroticism and horror.",English,"Canada, United Kingdom, United States",4 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BOTc2NzM1ODgtM2RkYi00M2U4LWE4NzEtMDMzZGUzYmI1ZDUzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.6,"36,442",tt0082509,movie,29-Nov-01,"$546,545 ",N/A,N/A,TRUE,
Hellraiser: Bloodline,1996,R,8-Mar-96,85 min,"Horror, Sci-Fi",Kevin Yagher,Peter Atkins,"Bruce Ramsay, Valentina Vargas, Doug Bradley","In the 22nd century, a scientist attempts to right the wrong his ancestor created: the puzzle box that opens the gates of Hell and unleashes Pinhead and his Cenobite legions.",English,"United States, United Kingdom",1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMzM1NjVhNGUtY2FhNy00MTQ4LTkyNDAtZWE2YWZhYWQ2YzdmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '21/100'}]",21,5,"23,183",tt0116514,movie,10-Oct-00,"$9,336,886 ",N/A,N/A,TRUE,
The Pallbearer,1996,PG-13,3-May-96,98 min,"Comedy, Romance",Matt Reeves,"Jason Katims, Matt Reeves","David Schwimmer, Gwyneth Paltrow, Michael Rapaport","A young man's life is thrown into a loop when he is asked to be a pallbearer for the funeral of a classmate he doesn't remember, and his old high school crush temporarily returns to town.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTA1MzJjOGItZWM4MC00ZTljLWI0NjktODFhNzYyNTdlMmY0XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}]",N/A,5,"11,318",tt0117283,movie,3-Aug-99,"$5,656,388 ",N/A,N/A,TRUE,
Jane Eyre,2011,PG-13,22-Apr-11,120 min,"Drama, Romance",Cary Joji Fukunaga,"Moira Buffini, Charlotte Brontë","Mia Wasikowska, Michael Fassbender, Jamie Bell",A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.,"English, French","United Kingdom, United States",Nominated for 1 Oscar. 10 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BNjU0Mjc0NzU3NF5BMl5BanBnXkFtZTcwMTU4OTkwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.3,"90,491",tt1229822,movie,16-Aug-11,"$11,242,660 ",N/A,N/A,TRUE,
Loaded,2008,R,25-Mar-08,98 min,"Action, Crime, Drama",Alan Pao,"Kyle Kramer, Corey Large, S.A. Lucerne","Jesse Metcalfe, Corey Large, Monica Keena","A young, wealthy club kid's life spirals downward into an out-of-control world of drugs, sex and violence.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTk3NjIxNDgzOV5BMl5BanBnXkFtZTcwMDE0NjQ2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,"2,904",tt0893406,movie,N/A,N/A,N/A,N/A,TRUE,
The Aristocats,1970,G,24-Dec-70,78 min,"Animation, Adventure, Comedy",Wolfgang Reitherman,"Larry Clemmons, Vance Gerry, Ken Anderson","Phil Harris, Eva Gabor, Sterling Holloway","With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.",English,United States,3 wins,https://m.media-amazon.com/images/M/MV5BMTU1MzM0MjcxMF5BMl5BanBnXkFtZTgwODQ0MzcxMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.1,"108,584",tt0065421,movie,5-Feb-08,"$35,452,658 ",N/A,N/A,TRUE,
Dolor y vida: Un acercamiento a 'La flor de mi secreto',1995,N/A,N/A,20 min,"Documentary, Short",Daniel Cebrián,N/A,"Pedro Almodóvar, Imanol Arias, Rossy de Palma",N/A,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BMTIzNDk5MzY2MV5BMl5BanBnXkFtZTcwNDkzOTA0MQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0989810,movie,N/A,N/A,N/A,N/A,TRUE,
Two Much,1995,PG-13,15-Mar-96,118 min,"Comedy, Romance",Fernando Trueba,"Donald E. Westlake, Fernando Trueba, David Trueba","Antonio Banderas, Melanie Griffith, Daryl Hannah",A young gallerist is in love with two sisters at the same time. In order to solve the problem he decides to invent his own twin-brother.,English,"Spain, United States",5 nominations,https://m.media-amazon.com/images/M/MV5BODI2YmUyNDAtMjAyMy00ZjEzLWExMTktZWUyYjMxYWFlODEyXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}]",N/A,5.4,"5,819",tt0118001,movie,8-Apr-03,"$1,141,556 ",N/A,N/A,TRUE,
Ed,1996,PG,15-Mar-96,94 min,"Comedy, Family, Sport",Bill Couturié,"Ken Richards, Janus Cercone, David Mickey Evans","Matt LeBlanc, Jayne Brook, Gene Ross",A trained chimpanzee plays third base for a minor-league baseball team.,English,United States,4 nominations,https://m.media-amazon.com/images/M/MV5BN2I0NDdlNzUtM2ZlYS00NzViLWExYTAtYzc3NDc2N2QzZGRjXkEyXkFqcGdeQXVyMTUyOTc1NDYz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.7/10'}, {'Source': 'Metacritic', 'Value': '25/100'}]",25,2.7,"8,669",tt0116165,movie,26-May-09,"$4,422,380 ",N/A,N/A,TRUE,
A Modern Affair,1995,R,6-Sep-96,90 min,"Comedy, Drama, Romance",Vern Oakley,"Vern Oakley, Paul Zimmerman","Lisa Eichhorn, Caroline Aaron, Robert LuPone","""A Modern Affair"" is a romantic comedy about the strain of contemporary relationships, one woman's urgent desire for parenthood, and a solution to it all. Grace Rhodes is the perfect corporate executive -- bright, successful, attr...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjE5MDM4NzM2OV5BMl5BanBnXkFtZTcwODU2OTYxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,189,tt0113839,movie,18-Feb-16,"$14,286 ",N/A,N/A,TRUE,
Condition Red,1995,R,8-Dec-95,83 min,"Action, Drama, Thriller",Mika Kaurismäki,Andre Degas,"James Russo, Cynda Williams, Paul Calderon",Prison guard falls in love with inmate. She wants him to let her escape.,English,"Finland, Germany, United States",N/A,https://m.media-amazon.com/images/M/MV5BMjA2MzA2Nzk0MV5BMl5BanBnXkFtZTcwODAyMTgyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,367,tt0112712,movie,20-Dec-18,N/A,N/A,N/A,TRUE,
A Thin Line Between Love and Hate,1996,R,3-Apr-96,108 min,"Comedy, Crime, Drama",Martin Lawrence,"Martin Lawrence, Bentley Kyle Evans, Kenny Buford","Martin Lawrence, Lynn Whitfield, Regina King","A fast paced, womanizing nightclub promoter gets paid back in full when he scorns a beautiful woman with psychotic tendencies who will punish him for breaking her heart.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTAwOWRlYzMtZjM0Yy00NTU3LWFkMzAtOTVlMDQ4NDVkZTUxXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}]",N/A,5.6,"5,145",tt0117891,movie,23-Nov-99,"$34,767,836 ",N/A,N/A,TRUE,
The Last Supper,1995,R,5-Apr-96,92 min,"Comedy, Crime, Drama",Stacy Title,Dan Rosen,"Cameron Diaz, Ron Eldard, Annabeth Gish","A group of idealistic, but frustrated, liberals succumb to the temptation of murdering rightwing pundits for their political beliefs.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BZjY5MjY3MjktM2QyMy00ZTNmLWFkYTctOTVlNjljYzExNjI5XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}]",N/A,6.7,"15,244",tt0113613,movie,7-Jan-03,"$459,749 ",N/A,N/A,TRUE,
Primal Fear,1996,R,3-Apr-96,129 min,"Crime, Drama, Mystery",Gregory Hoblit,"William Diehl, Steve Shagan, Ann Biderman","Richard Gere, Laura Linney, Edward Norton","An altar boy is accused of murdering a priest, and the truth is buried several layers deep.","English, Spanish",United States,Nominated for 1 Oscar. 10 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BZTM2NWI2OGYtYWNhMi00ZTlmLTg2ZTAtMmI5NWRjODA5YTE1XkEyXkFqcGdeQXVyODE2OTYwNTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,7.7,"230,938",tt0117381,movie,1-May-07,"$56,116,183 ",N/A,N/A,TRUE,
